Gene	Drug	standard	phenotype	dose_recommendataion	In detail
CYP2C19	Trimipramine	recommendation	Poor Metabolizer	Contraindicated	Recommends an alternative drug.
CYP2C19	Trimipramine	recommendation	Intermediate Metabolizer	Dose reduction	A 25% dose reduction should be considered.
CYP2C9	"Phenytoin,Fosphenytoin"	recommendation	Intermediate Metabolizer	Dose reduction	Initiating therapy with lowest recommended starting dose.
CYP2C9	"Phenytoin,Fosphenytoin"	recommendation	Poor Metabolizer	Further dose reduction	Initiating therapy with 25-50% of the lowest recommended starting dose.
CYP2C9	"Celecoxib,Ibuprofen,Flurbiprofen,Lornoxicam"	recommendation	Intermediate Metabolizer	Dose reduction	Initiating therapy with lowest recommended starting dose.
CYP2C9	"Celecoxib,Ibuprofen,Flurbiprofen,Lornoxicam"	recommendation	Poor Metabolizer	Further dose reduction	Initiating therapy with 25-50% of the lowest recommended starting dose.
CYP2C9	"Piroxicam,Tenoxicam"	recommendation	Intermediate Metabolizer	Contraindicated	Should choose an alternative therapy.
CYP2C9	"Piroxicam,Tenoxicam"	recommendation	Poor Metabolizer	Contraindicated	Should choose an alternative therapy.
CYP2C9	Fluvastatin	recommendation	Intermediate Metabolizer	Dose reduction	Should avoid fluvastatin doses greater than 40mg.
CYP2C9	Fluvastatin	recommendation	Poor Metabolizer	Further dose reduction	Should avoid doses greater than 20mg.
CYP2C9	Meloxicam	recommendation	Intermediate Metabolizer	Dose reduction	Initiating therapy with 50% of the lowest recommended starting dose or choose an alternative therapy.
CYP2C9	Meloxicam	recommendation	Poor Metabolizer	Contraindicated	Recommends alternative therapy.
CYP2C9	Siponimod	recommendation	Poor Metabolizer	Contraindicated	Recommends alternative therapy.
CYP2C9	Siponimod	recommendation	Intermediate Metabolizer	Dose reduction	Initiating therapy with lowest recommended starting dose.
DPYD	"Capecitabine,Fluorouracil"	recommendation	Intermediate Metabolizer	Dose reduction	Should receive a dose reduction of 50%.
DPYD	"Capecitabine,Fluorouracil"	recommendation	Poor Metabolizer	Contraindicated	Recommends an alternative drug for patients.
NUDT15	Azathioprine	recommendation	Intermediate Metabolizer	Dose reduction	Start at 30-80% of target dose.
NUDT15	Azathioprine	recommendation	Poor Metabolizer	Contraindicated	Consider an alternate agent or extreme dose reduction of azathioprine.
NUDT15	Thioguanine	recommendation	Intermediate Metabolizer	Dose reduction	Start at 50-80% of target dose.
NUDT15	Thioguanine	recommendation	Poor Metabolizer	Contraindicated	Consider an alternate agent or extreme dose reduction of azathioprine.
NUDT15	Mercaptopurine	recommendation	Intermediate Metabolizer	Dose reduction	Start at 30-80% of target dose.
NUDT15	Mercaptopurine	recommendation	Poor Metabolizer	Contraindicated	Consider an alternate agent or extreme dose reduction of azathioprine.
RYR1	"Desflurane,Enflurane,Halothane,Isoflurane,Methoxyflurane,Sevoflurane,Succinylcholine"	recommendation	Malignant Hyperthermia Susceptibility	Contraindicated	Relatively contraindicated in persons with malignant hyperthermia susceptibility.
SLCO1B1	Fluvastatin	recommendation	Poor Function	Dose reduction	should avoid fluvastatin doses greater than 40mg and and adjust doses of fluvastatin based on disease-specific guidelines.
SLCO1B1	Lovastatin	recommendation	Decreased Function	Contraindicated	Alternative statin depending on the desired potency.
SLCO1B1	Lovastatin	recommendation	Possible Decreased Function	Contraindicated	Alternative statin depending on the desired potency.
SLCO1B1	Lovastatin	recommendation	Poor Function	Contraindicated	Alternative statin depending on the desired potency.
SLCO1B1	Pitavastatin	recommendation	Decreased Function	Dose reduction	Prescribe ¡Â2mg as a starting dose for patients.
SLCO1B1	Pitavastatin	recommendation	Possible Decreased Function	Dose reduction	Prescribe ¡Â2mg as a starting dose for patients.
SLCO1B1	Pitavastatin	recommendation	Poor Function	Further dose reduction	Prescribe ¡Â1mg as a starting dose for patients.
SLCO1B1	Pravastatin	recommendation	Poor Function	Dose reduction	Prescribe ¡Â40mg as a starting dose and adjust doses of pravastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy with pravastatin especially with doses >40mg per day.
SLCO1B1	Atorvastatin	recommendation	Decreased Function	Dose reduction	Prescribe ¡Â40mg for patients. Adjust doses of atorvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for 40mg dose.
SLCO1B1	Atorvastatin	recommendation	Possible Decreased Function	Dose reduction	Prescribe ¡Â40mg for patients. Adjust doses of atorvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for 40mg dose.
SLCO1B1	Atorvastatin	recommendation	Poor Function	Further dose reduction	Prescribe ¡Â20mg for patients. Adjust doses of atorvastatin based on disease-specific guidelines. Prescriber should be aware of possible increased risk for myopathy especially for 40mg dose.
SLCO1B1	Simvastatin	recommendation	Decreased Function	Contraindicated	"Prescribe an alternative statin depending on the desired potency. If simvastatin therapy is warranted in patients, limit dose to <20mg/day."
SLCO1B1	Simvastatin	recommendation	Possible Decreased Function	Contraindicated	"Prescribe an alternative statin depending on the desired potency. If simvastatin therapy is warranted in patients, limit dose to <20mg/day."
SLCO1B1	Simvastatin	recommendation	Poor Function	Contraindicated	Prescribe an alternative statin depending on the desired potency.
SLCO1B1	Rosuvastatin	recommendation	Poor Function	Dose reduction	"Prescribe ¡Â20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider combination therapy. (i.e. rosuvastatin plus non-statin guideline directed medical therapy)"
TPMT	Azathioprine	recommendation	Intermediate Metabolizer	Dose reduction	Start at 30-80% of target dose for patients.
TPMT	Azathioprine	recommendation	Poor Metabolizer	Contraindicated	Consider an alternate agent or extreme dose reduction of azathioprine for patients.
TPMT	Thioguanine	recommendation	Intermediate Metabolizer	Dose reduction	Start at 30-80% of target dose for patients.
TPMT	Thioguanine	recommendation	Poor Metabolizer	Further dose reduction	Consider an alternate agent or extreme dose reduction of thioguanine for patients.
TPMT	Mercaptopurine	recommendation	Intermediate Metabolizer	Dose reduction	Start at 30-80% of target dose for patients.
TPMT	Mercaptopurine	recommendation	Poor Metabolizer	Contraindicated	Consider an alternate agent or extreme dose reduction of mercaptopurine for patients.
